# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
30,135,-1.0000002963,0.0000000000,0.9999977815,8.3120763698e+10
30,973,0.9999977815,0.0000000000,0.9999977815,3.8228098852e+11
31,133,0.9999990389,0.0000000000,0.9999977815,3.8386525377e+10
31,975,-0.9999996676,0.0000000000,0.9999977815,3.8386525377e+10
32,134,-1.0000002963,0.0000000000,-0.9999992066,4.1298642124e+11
32,976,0.9999977815,0.0000000000,-0.9999992066,4.1298642124e+11
33,141,-0.9999992066,0.9999990389,0.0000000000,4.1298642124e+11
33,983,-0.9999992066,-0.9999996676,0.0000000000,1.1947870728e+12
34,142,0.9999977815,-1.0000002963,0.0000000000,4.1298642124e+11
34,984,0.9999977815,0.9999977815,0.0000000000,1.1947870728e+12
35,144,0.9999977815,0.9999990389,0.0000000000,4.1298642124e+11
35,982,0.9999977815,-0.9999996676,0.0000000000,4.1298642124e+11
36,143,-0.9999992066,-1.0000002963,0.0000000000,2.1504569935e+10
36,981,-0.9999992066,0.9999977815,0.0000000000,2.5587342005e+10
37,127,-0.9999992066,0.0000000000,-1.0000002963,1.6095584075e+10
37,965,-0.9999992066,0.0000000000,0.9999977815,1.6095584075e+10
38,128,0.9999977815,0.0000000000,0.9999990389,1.1947870728e+12
38,966,0.9999977815,0.0000000000,-0.9999996676,4.1298642124e+11
39,126,0.9999977815,0.0000000000,-1.0000002963,3.8228098852e+11
39,968,0.9999977815,0.0000000000,0.9999977815,3.8228098852e+11
40,125,-0.9999992066,0.0000000000,0.9999990389,1.1947870728e+12
40,967,-0.9999992066,0.0000000000,-0.9999996676,1.1947870728e+12
41,124,0.0000000000,0.9999990389,0.9999977815,8.3120763698e+10
41,962,0.0000000000,-0.9999996676,0.9999977815,8.3120763698e+10
42,123,0.0000000000,-1.0000002963,-0.9999992066,2.5587342005e+10
42,961,0.0000000000,0.9999977815,-0.9999992066,2.5587342005e+10
43,121,0.0000000000,0.9999990389,-0.9999992066,8.3120763698e+10
43,963,0.0000000000,-0.9999996676,-0.9999992066,3.8228098852e+11
44,122,0.0000000000,-1.0000002963,0.9999977815,1.1947870728e+12
44,964,0.0000000000,0.9999977815,0.9999977815,1.1947870728e+12
45,129,0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
45,971,-0.9999996676,-0.9999992066,0.0000000000,1.1947870728e+12
